code,description
01,Animais vivos.
01.01,"Cavalos, asininos e muares, vivos."
0101.2,- Cavalos:
0101.21.00,-- Reprodutores de raça pura
0101.29.00,-- Outros
0101.30.00,- Asininos
0101.90.00,- Outros
01.02,Animais vivos da espécie bovina.
0102.2,- Bovinos domésticos:
0102.21,-- Reprodutores de raça pura
0102.21.10,Prenhes ou com cria ao pé
0102.21.90,Outros
0102.29,-- Outros
0102.29.1,Para reprodução
0102.29.11,Prenhes ou com cria ao pé
0102.29.19,Outros
0102.29.90,Outros
0102.3,- Búfalos:
0102.31,-- Reprodutores de raça pura
0102.31.10,Prenhes ou com cria ao pé
0102.31.90,Outros
0102.39,-- Outros
0102.39.1,Para reprodução
0102.39.11,Prenhes ou com cria ao pé
0102.39.19,Outros
0102.39.90,Outros
0102.90.00,- Outros
01.03,Animais vivos da espécie suína.
0103.10.00,- Reprodutores de raça pura
0103.9,- Outros:
0103.91.00,-- De peso inferior a 50 kg
0103.92.00,-- De peso igual ou superior a 50 kg
01.04,Animais vivos das espécies ovina e caprina.
0104.10,- Ovinos
0104.10.1,Reprodutores de raça pura
0104.10.11,Prenhes ou com cria ao pé
0104.10.19,Outros
0104.10.90,Outros
0104.20,- Caprinos
0104.20.10,Reprodutores de raça pura
0104.20.90,Outros
01.05,"Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos."
0105.1,- De peso não superior a 185 g:
0105.11,-- Aves da espécie Gallus domesticus
0105.11.10,"De linhas puras ou híbridas, para reprodução"
0105.11.90,Outros
0105.12.00,-- Peruas e perus
0105.13.00,-- Patos
0105.14.00,-- Gansos
0105.15.00,-- Galinhas-d'angola (pintadas)
0105.9,- Outros:
0105.94.00,-- Aves da espécie Gallus domesticus
0105.99.00,-- Outros
01.06,Outros animais vivos.
0106.1,- Mamíferos:
0106.11.00,-- Primatas
0106.12.00,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
0106.13.00,-- Camelos e outros camelídeos (Camelidae)
0106.14.00,-- Coelhos e lebres
0106.19.00,-- Outros
0106.20.00,- Répteis (incluindo as serpentes e as tartarugas marinhas)
0106.3,- Aves:
0106.31.00,-- Aves de rapina
0106.32.00,"-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)"
0106.33,-- Avestruzes; emus (Dromaius novaehollandiae)
0106.33.10,"Avestruzes (Struthio camelus), para reprodução"
0106.33.90,Outros
0106.39.00,-- Outras
0106.4,- Insetos:
0106.41.00,-- Abelhas
0106.49.00,-- Outros
0106.90.00,- Outros
02,"Carnes e miudezas, comestíveis."
02.01,"Carnes de animais da espécie bovina, frescas ou refrigeradas."
0201.10.00,- Carcaças e meias-carcaças
0201.20,- Outras peças não desossadas
0201.20.10,Quartos dianteiros
0201.20.20,Quartos traseiros
0201.20.90,Outras
0201.30.00,- Desossadas
02.02,"Carnes de animais da espécie bovina, congeladas."
0202.10.00,- Carcaças e meias-carcaças
0202.20,- Outras peças não desossadas
0202.20.10,Quartos dianteiros
0202.20.20,Quartos traseiros
0202.20.90,Outras
0202.30.00,- Desossadas
02.03,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas."
0203.1,- Frescas ou refrigeradas:
0203.11.00,-- Carcaças e meias-carcaças
0203.12.00,"-- Pernas, pás e respectivos pedaços, não desossados"
0203.19.00,-- Outras
0203.2,- Congeladas:
0203.21.00,-- Carcaças e meias-carcaças
0203.22.00,"-- Pernas, pás e respectivos pedaços, não desossados"
0203.29.00,-- Outras
02.04,"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas."
0204.10.00,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
0204.2,"- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:"
0204.21.00,-- Carcaças e meias-carcaças
0204.22.00,-- Outras peças não desossadas
0204.23.00,-- Desossadas
0204.30.00,"- Carcaças e meias-carcaças de cordeiro, congeladas"
0204.4,"- Outras carnes de animais da espécie ovina, congeladas:"
0204.41.00,-- Carcaças e meias-carcaças
0204.42.00,-- Outras peças não desossadas
0204.43.00,-- Desossadas
0204.50.00,- Carnes de animais da espécie caprina
0205.00.00,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
02.06,"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
0206.10.00,"- Da espécie bovina, frescas ou refrigeradas"
0206.2,"- Da espécie bovina, congeladas:"
0206.21.00,-- Línguas
0206.22.00,-- Fígados
0206.29,-- Outras
0206.29.10,Rabos
0206.29.90,Outros
0206.30.00,"- Da espécie suína, frescas ou refrigeradas"
0206.4,"- Da espécie suína, congeladas:"
0206.41.00,-- Fígados
0206.49.00,-- Outras
0206.80.00,"- Outras, frescas ou refrigeradas"
0206.90.00,"- Outras, congeladas"
02.07,"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05."
0207.1,- De aves da espécie Gallus domesticus:
0207.11.00,"-- Não cortadas em pedaços, frescas ou refrigeradas"
0207.12,"-- Não cortadas em pedaços, congeladas"
0207.12.10,Com miudezas
0207.12.20,Sem miudezas
0207.13.00,"-- Pedaços e miudezas, frescos ou refrigerados"
0207.14,"-- Pedaços e miudezas, congelados"
0207.14.1,Pedaços não desossados
0207.14.11,Peitos
0207.14.12,Coxas com sobrecoxas
0207.14.13,Asas
0207.14.19,Outros
0207.14.2,Pedaços desossados
0207.14.21,"Peitos, coxas e sobrecoxas, formando uma só peça"
0207.14.22,Peitos
0207.14.23,Coxas com sobrecoxas
0207.14.24,Carne mecanicamente separada
0207.14.29,Outros
0207.14.3,Miudezas
0207.14.31,Fígados
0207.14.32,Moelas
0207.14.33,Corações
0207.14.34,Pés e patas
0207.14.39,Outras
0207.2,- De peruas e de perus:
0207.24.00,"-- Não cortadas em pedaços, frescas ou refrigeradas"
0207.25.00,"-- Não cortadas em pedaços, congeladas"
0207.26.00,"-- Pedaços e miudezas, frescos ou refrigerados"
0207.27.00,"-- Pedaços e miudezas, congelados"
0207.4,- De patos:
0207.41.00,"-- Não cortadas em pedaços, frescas ou refrigeradas"
0207.42.00,"-- Não cortadas em pedaços, congeladas"
0207.43.00,"-- Fígados gordos (foies gras), frescos ou refrigerados"
0207.44.00,"-- Outras, frescas ou refrigeradas"
0207.45.00,"-- Outras, congeladas"
0207.5,- De gansos:
0207.51.00,"-- Não cortadas em pedaços, frescas ou refrigeradas"
0207.52.00,"-- Não cortadas em pedaços, congeladas"
0207.53.00,"-- Fígados gordos (foies gras), frescos ou refrigerados"
0207.54.00,"-- Outras, frescas ou refrigeradas"
0207.55.00,"-- Outras, congeladas"
0207.60.00,- De galinhas-d'angola (pintadas)
02.08,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas."
0208.10.00,- De coelhos ou lebres
0208.30.00,- De primatas
0208.40.00,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
0208.50.00,- De répteis (incluindo as serpentes e as tartarugas marinhas)
0208.60.00,- De camelos e outros camelídeos (Camelidae)
0208.90.00,- Outras
02.09,"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados)."
0209.10,- De porco
0209.10.1,Toucinho
0209.10.11,"Fresco, refrigerado ou congelado"
0209.10.19,Outros
0209.10.2,Gordura
0209.10.21,"Fresca, refrigerada ou congelada"
0209.10.29,Outras
0209.90.00,- Outros
02.10,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e pós, comestíveis, de carnes ou de miudezas."
0210.1,- Carnes da espécie suína:
0210.11.00,"-- Pernas, pás e respectivos pedaços, não desossados"
0210.12.00,-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços
0210.19.00,-- Outras
0210.20.00,- Carnes da espécie bovina
0210.9,"- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:"
0210.91.00,-- De primatas
0210.92.00,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
0210.93.00,-- De répteis (incluindo as serpentes e as tartarugas marinhas)
0210.99,-- Outras
0210.99.1,Carnes de aves da posição 01.05
0210.99.11,De galos e de galinhas
0210.99.19,Outras
0210.99.20,Carnes da espécie ovina
0210.99.30,Carnes da espécie cavalar
0210.99.40,Miudezas comestíveis
0210.99.90,Outras
03,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos."
03.01,Peixes vivos.
0301.1,- Peixes ornamentais:
0301.11,-- De água doce
0301.11.10,Aruanã (Osteoglossum bicirrhosum)
0301.11.90,Outros
0301.19.00,-- Outros
0301.9,- Outros peixes vivos:
0301.91,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
0301.91.10,Para reprodução
0301.91.90,Outras
0301.92,-- Enguias (Anguilla spp.)
0301.92.10,Para reprodução
0301.92.90,Outras
0301.93,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0301.93.10,Para reprodução
0301.93.90,Outras
0301.94,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)"
0301.94.10,Para reprodução
0301.94.90,Outras
0301.95,-- Atum-azul do sul (atum) (Thunnus maccoyii)
0301.95.10,Para reprodução
0301.95.90,Outros
0301.99,-- Outros
0301.99.1,Para reprodução
0301.99.11,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
0301.99.12,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
0301.99.19,Outros
0301.99.9,Outros
0301.99.91,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
0301.99.92,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
0301.99.99,Outros
03.02,"Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04."
0302.1,"- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
0302.11.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
0302.13.00,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
0302.14.00,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)
0302.19.00,-- Outros
0302.2,"- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
0302.21.00,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
0302.22.00,-- Solha (Pleuronectes platessa)
0302.23.00,-- Linguados (Solea spp.)
0302.24.00,-- Pregado (Psetta maxima)
0302.29.00,-- Outros
0302.3,"- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
0302.31.00,-- Albacora-branca (atum) (Thunnus alalunga)
0302.32.00,-- Albacora-laje (atum) (Thunnus albacares)
0302.33.00,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
0302.34.00,-- Albacora-bandolim (atum) (Thunnus obesus)
0302.35.00,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)"
0302.36.00,-- Atum-azul do sul (atum) (Thunnus maccoyii)
0302.39.00,-- Outros
0302.4,"- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
